FileNumber,Fragment,IsotopeRatio,IntegratedIsotopeRatio,Average,StdDev,StdError,RelStdError,TICVar,TIC*ITVar,TIC*ITMean,ShotNoise
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,13C-18O/13C,0,0.07849772327755768,0.0122083399033566,0.00036126306349693196,0.00460221071915109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0034339812262515553
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,13C-18O/13C,0,0.07849772327755768,0.0122083399033566,0.00036126306349693196,0.00460221071915109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0034339812262515553
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,13C-18O/13C,0,0.07849772327755768,0.0122083399033566,0.00036126306349693196,0.00460221071915109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0034339812262515553
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,15N/13C,0,0.07302970139391812,0.011744640062147167,0.0003475414906619306,0.004758906089281555,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0035508665076471654
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,15N/13C,0,0.07302970139391812,0.011744640062147167,0.0003475414906619306,0.004758906089281555,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0035508665076471654
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,15N/13C,0,0.07302970139391812,0.011744640062147167,0.0003475414906619306,0.004758906089281555,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0035508665076471654
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,18O/13C,0,0.034475450197034574,0.007701811000797366,0.00022790812335241677,0.006610736685086723,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0050759840465630385
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,18O/13C,0,0.034475450197034574,0.007701811000797366,0.00022790812335241677,0.006610736685086723,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0050759840465630385
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,18O/13C,0,0.034475450197034574,0.007701811000797366,0.00022790812335241677,0.006610736685086723,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0050759840465630385
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,D/13C,0,0.021583957919186415,0.007368905155498938,0.00021805694076079517,0.010102731926055136,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006375130827211163
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,D/13C,0,0.021583957919186415,0.007368905155498938,0.00021805694076079517,0.010102731926055136,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006375130827211163
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,D/13C,0,0.021583957919186415,0.007368905155498938,0.00021805694076079517,0.010102731926055136,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006375130827211163
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,105.1,Unsub/13C,0,0.24812889179039269,0.023923057485018006,0.00070791910314314,0.002853029721912255,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0020777880188735946
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,105.1,Unsub/13C,0,0.24812889179039269,0.023923057485018006,0.00070791910314314,0.002853029721912255,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0020777880188735946
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,105.1,Unsub/13C,0,0.24812889179039269,0.023923057485018006,0.00070791910314314,0.002853029721912255,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0020777880188735946
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,13C/13C-34S,0,0.0878450109168236,0.009820903051257655,0.0002906152311198534,0.0033082724685983994,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002484428444980986
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,13C/13C-34S,0,0.0878450109168236,0.009820903051257655,0.0002906152311198534,0.0033082724685983994,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002484428444980986
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,13C/13C-34S,0,0.0878450109168236,0.009820903051257655,0.0002906152311198534,0.0033082724685983994,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002484428444980986
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,15N-34S/13C-34S,0,0.07441764080750377,0.009104841676489854,0.00026942590251758237,0.003620457455974811,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002682421689410292
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,15N-34S/13C-34S,0,0.07441764080750377,0.009104841676489854,0.00026942590251758237,0.003620457455974811,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002682421689410292
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,15N-34S/13C-34S,0,0.07441764080750377,0.009104841676489854,0.00026942590251758237,0.003620457455974811,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002682421689410292
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,33S/13C-34S,0,0.013924201753417183,0.004325873500729973,0.0001280090762171712,0.009193279333643386,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006025087877701517
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,33S/13C-34S,0,0.013924201753417183,0.004325873500729973,0.0001280090762171712,0.009193279333643386,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006025087877701517
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,33S/13C-34S,0,0.013924201753417183,0.004325873500729973,0.0001280090762171712,0.009193279333643386,0.04861391034191248,0.06392261000582711,311303.15323992993,0.006025087877701517
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,34S/13C-34S,0,0.2609119412836571,0.018848840109270643,0.0005577654107883057,0.0021377534812863043,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0015518422627496052
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,34S/13C-34S,0,0.2609119412836571,0.018848840109270643,0.0005577654107883057,0.0021377534812863043,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0015518422627496052
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,34S/13C-34S,0,0.2609119412836571,0.018848840109270643,0.0005577654107883057,0.0021377534812863043,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0015518422627496052
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,D-34S/13C-34S,0,0.03139824845867616,0.005889000816978213,0.000174264354770508,0.005550129810580379,0.04861391034191248,0.06392261000582711,311303.15323992993,0.004047252879673093
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,D-34S/13C-34S,0,0.03139824845867616,0.005889000816978213,0.000174264354770508,0.005550129810580379,0.04861391034191248,0.06392261000582711,311303.15323992993,0.004047252879673093
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,D-34S/13C-34S,0,0.03139824845867616,0.005889000816978213,0.000174264354770508,0.005550129810580379,0.04861391034191248,0.06392261000582711,311303.15323992993,0.004047252879673093
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,107.1,Unsub/13C-34S,0,0.020731662896939354,0.004492945431698438,0.00013295298489630463,0.006413040070988839,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00495250213443875
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,107.1,Unsub/13C-34S,0,0.020731662896939354,0.004492945431698438,0.00013295298489630463,0.006413040070988839,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00495250213443875
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,107.1,Unsub/13C-34S,0,0.020731662896939354,0.004492945431698438,0.00013295298489630463,0.006413040070988839,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00495250213443875
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,136.0,13C-18O/13C-34S,0,0.08238697168239356,0.01048850980662832,0.00031037071495841704,0.0037672305295419002,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002935350153514223
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,136.0,13C-18O/13C-34S,0,0.08238697168239356,0.01048850980662832,0.00031037071495841704,0.0037672305295419002,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002935350153514223
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,136.0,13C-18O/13C-34S,0,0.08238697168239356,0.01048850980662832,0.00031037071495841704,0.0037672305295419002,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002935350153514223
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,136.0,18O-33S/13C-34S,0,0.009579734010508467,0.004704426129024726,0.0001392110154877986,0.014531824718211529,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00830805216847208
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,136.0,18O-33S/13C-34S,0,0.009579734010508467,0.004704426129024726,0.0001392110154877986,0.014531824718211529,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00830805216847208
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,136.0,18O-33S/13C-34S,0,0.009579734010508467,0.004704426129024726,0.0001392110154877986,0.014531824718211529,0.04861391034191248,0.06392261000582711,311303.15323992993,0.00830805216847208
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,136.0,34S/13C-34S,0,0.06997576056936627,0.010001030421633703,0.00029594546980560673,0.004229256922648792,0.04861391034191248,0.06392261000582711,311303.15323992993,0.003167576647376066
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,136.0,34S/13C-34S,0,0.06997576056936627,0.010001030421633703,0.00029594546980560673,0.004229256922648792,0.04861391034191248,0.06392261000582711,311303.15323992993,0.003167576647376066
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,136.0,34S/13C-34S,0,0.06997576056936627,0.010001030421633703,0.00029594546980560673,0.004229256922648792,0.04861391034191248,0.06392261000582711,311303.15323992993,0.003167576647376066
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,136.0,D-34S/13C-34S,0,0.020145535278382618,0.005971488866857864,0.00017670529971775814,0.008771437307370712,0.04861391034191248,0.06392261000582711,311303.15323992993,0.005765964897765802
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,136.0,D-34S/13C-34S,0,0.020145535278382618,0.005971488866857864,0.00017670529971775814,0.008771437307370712,0.04861391034191248,0.06392261000582711,311303.15323992993,0.005765964897765802
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,136.0,D-34S/13C-34S,0,0.020145535278382618,0.005971488866857864,0.00017670529971775814,0.008771437307370712,0.04861391034191248,0.06392261000582711,311303.15323992993,0.005765964897765802
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,57.1,15N/13C,0,0.11014206882097537,0.005437196490395274,0.00016089478803050887,0.001460793225992757,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0010648235500008555
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,57.1,15N/13C,0,0.11014206882097537,0.005437196490395274,0.00016089478803050887,0.001460793225992757,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0010648235500008555
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,57.1,15N/13C,0,0.11014206882097537,0.005437196490395274,0.00016089478803050887,0.001460793225992757,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0010648235500008555
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,57.1,D/13C,0,0.02428036993181238,0.002728417270770144,8.073795368896596e-05,0.0033252357322275513,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002178751217603949
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,57.1,D/13C,0,0.02428036993181238,0.002728417270770144,8.073795368896596e-05,0.0033252357322275513,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002178751217603949
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,57.1,D/13C,0,0.02428036993181238,0.002728417270770144,8.073795368896596e-05,0.0033252357322275513,0.04861391034191248,0.06392261000582711,311303.15323992993,0.002178751217603949
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,57.1,Unsub/13C,0,0.692448373587355,0.017057839162090714,0.0005047670101846139,0.0007289597743866109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0005243604243095548
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,57.1,Unsub/13C,0,0.692448373587355,0.017057839162090714,0.0005047670101846139,0.0007289597743866109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0005243604243095548
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,57.1,Unsub/13C,0,0.692448373587355,0.017057839162090714,0.0005047670101846139,0.0007289597743866109,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0005243604243095548
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,64.0,13C-34S/34S,0,0.5788280018070472,0.016127339137140918,0.00047723212073540135,0.0008244800169403123,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0006096791733024764
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,64.0,13C-34S/34S,0,0.5788280018070472,0.016127339137140918,0.00047723212073540135,0.0008244800169403123,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0006096791733024764
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_03.xlsx,64.0,13C-34S/34S,0,0.5788280018070472,0.016127339137140918,0.00047723212073540135,0.0008244800169403123,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0006096791733024764
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_01.xlsx,64.0,13C/34S,0,0.0544251726530076,0.004366354853313645,0.00012920698007344046,0.0023740297692248172,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0016248024062674158
LCMultipleFragmentTestFolder/Multiple_Fragment_Example_20201217_06_Methionine M3 Frag 250 uM 2e5 NCE 60_02.xlsx,64.0,13C/34S,0,0.0544251726530076,0.004366354853313645,0.00012920698007344046,0.0023740297692248172,0.04861391034191248,0.06392261000582711,311303.15323992993,0.0016248024062674158
